id	name	add_name	description	popup	special_enchant_amount	special_enchant_desc	color
17	木箭		用木头制作的箭。该弓箭使用为普通箭。	-1	0		1
53	(不使用)		维生素道具包\n装有怒火守护精灵手镯(30日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
54	(不使用)		维生素道具包\n装有阳光守护精灵手镯(30日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
55	阳光守护精灵7日包-活动用		维生素道具包\n装有阳光守护精灵手镯(7日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
56	呜呜守护精灵7日包-活动用		维生素道具包\n装有呜呜守护精灵手镯(7日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
57	金币			-1	0		1
65	红色药水			-1	0		1
136	(不使用)		维生素道具包\n装有怒火守护精灵手镯(30日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
137	(不使用)		维生素道具包\n装有阳光守护精灵手镯(30日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
138	(不使用)		维生素道具包\n装有呜呜守护精灵手镯(30日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
139	怒火守护精灵7日包		维生素道具包\n装有怒火守护精灵手镯(7日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
140	阳光守护精灵7日包		维生素道具包\n装有阳光守护精灵手镯(7日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
141	呜呜守护精灵7日包		维生素道具包\n装有呜呜守护精灵手镯(7日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
163	(不使用)		维生素道具包\n装有呜呜守护精灵手镯(30日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
170	怒火守护精灵7日包-活动用		维生素道具包\n装有怒火守护精灵手镯(7日)的包。不能交易，掉落。可在个人仓库保管。	-1	0		1
686	椅子		椅子	-1	0		1
687	达灵的信函		达灵写给拉普吉儿的情书。达灵拜托你将此信交给拉普吉儿。	-1	0		1
688	拉普吉儿的手帕		拉普吉儿的手帕，拉普吉儿对达灵信函内容所做的回复。拿去交给达灵。	-1	0		1
689	阿路基恩的诗集		阿路基恩心爱的诗集，也收录他本人的诗。把这个交给葛雷妮丝。	-1	0		1
690	何布帝恩的歌词集		何布帝恩的歌词集	-1	0		1
691	罗曼史小说		写着许多爱情故事的小说	-1	0		1
692	阿路基恩的信函		阿路基恩撰写的信函	-1	0		1
693	葛雷妮丝的信		葛雷妮丝所写的信，信中拒绝了阿路基恩的爱意。将此信交给阿路基恩。	-1	0		1
694	材料明细		材料明细:玛瑙兽的血3滴，玛那吸血鬼的皮2张，翼魔的角2个。	-1	0		1
695	玛瑙兽的血		从玛瑙兽身上所搜集的血液	-1	0		1
696	玛那吸血鬼的皮		玛那吸血鬼身上所剥下来的皮	-1	0		1
697	翼魔的角		翼魔头上的断角	-1	0		1
698	吉尔伯特的名单		名单内容:兽人，哥布林，蘑菇。	-1	0		1
699	兽人的鼻子		兽人的鼻子	-1	0		1
700	哈柏哥布林骨符		哈柏哥布林的骨符	-1	0		1
701	蘑菇汁		蘑菇身上所搜集的汁液	-1	0		1
702	狼皮		收集40个狼皮交给武器防具商店的雷克特。	-1	0		1
